id_titulo,id_persona,orden_credito
2,1829,1
2,20390,2
2,12445,3
2,37219,4
2,9740,5
2,27307,6
2,3469,7
2,39832,8
2,12856,9
2,7487,10
2,32762,11
2,13359,12
2,34116,13
2,28353,14
2,25283,15
2,33388,16
2,10133,17
2,34378,18
2,29216,19
3,33253,1
3,38145,2
3,33325,3
3,26960,4
3,35286,5
3,33050,6
3,28248,7
3,12648,8
3,4178,9
5,25144,1
5,17277,2
5,30948,3
5,1006,4
5,791,5
5,31397,6
5,38526,7
5,3547,8
6,19612,1
6,40504,2
6,13705,3
6,14249,4
6,20977,5
6,33226,6
6,14848,7
6,30663,8
6,2925,9
6,2920,10
6,1274,11
6,30650,12
6,24774,13
6,25828,14
6,8003,15
6,22658,16
7,38662,1
7,20662,2
7,15838,3
7,35280,4
7,22461,5
7,20028,6
7,10673,7
7,16017,8
7,25716,9
7,29890,10
8,20811,1
8,28747,2
8,1420,3
8,27730,4
8,26876,5
8,636,6
8,31252,7
8,26914,8
9,25288,1
9,36098,2
9,24527,3
9,29349,4
10,25352,1
10,7131,2
10,20260,3
10,37580,4
10,8774,5
10,35221,6
10,21489,7
10,32419,8
10,20648,9
10,22582,10
10,31056,11
12,36151,1
12,36415,2
12,29530,3
12,32961,4
12,36433,5
12,4726,6
12,9116,7
12,39377,8
12,20768,9
12,224,10
12,28182,11
12,20769,12
12,3406,13
12,16402,14
12,28928,15
12,28929,16
12,21090,17
12,29981,18
12,15245,19
12,19874,20
12,28916,21
12,36303,22
12,36065,23
12,39136,24
12,30107,25
13,22995,1
13,16091,2
13,26162,3
13,10351,4
13,2852,5
13,24356,6
13,38851,7
13,11990,8
13,4076,9
13,26924,10
13,10683,11
14,20784,1
14,22755,2
14,19093,3
14,23866,4
14,20714,5
14,11858,6
14,12373,7
14,5795,8
14,21939,9
14,15590,10
16,22500,1
16,5224,2
16,9144,3
16,3110,4
16,17786,5
16,3634,6
16,24365,7
16,12885,8
18,22868,1
18,5889,2
18,34204,3
18,33194,4
18,10403,5
18,35461,6
18,1148,7
18,4068,8
18,38514,9
18,13529,10
18,12401,11
18,23884,12
19,12265,1
19,22509,2
19,31973,3
19,25211,4
19,33633,5
19,14056,6
19,24303,7
19,5209,8
19,3176,9
19,7656,10
20,4996,1
20,15306,2
20,40873,3
20,605,4
